pullx2_1.xvg	0.828578	1000
pullx2_2.xvg	0.894372	1000
pullx2_3.xvg	0.947997	1000
pullx2_4.xvg	1.04427		1000
pullx2_5.xvg	1.14278		1000
pullx2_6.xvg	1.24436		1000
pullx2_7.xvg	1.35144		1000
pullx2_8.xvg	1.46899		1000
pullx2_9.xvg	1.55697		1000
pullx2_10.xvg	1.67643		1000
pullx2_11.xvg	1.78437		1000
pullx2_12.xvg	1.88324		1000
pullx2_13.xvg	1.99181		1000
pullx2_14.xvg	2.10115		1000
pullx2_15.xvg	2.2161		1000
pullx2_16.xvg	2.32359		1000
pullx2_17.xvg	2.43421		1000
pullx2_18.xvg	2.55202		1000
pullx2_19.xvg	2.66111		1000
pullx2_20.xvg	2.77218		1000
pullx2_21.xvg	2.88181		1000
pullx2_22.xvg	2.99595		1000
pullx2_23.xvg	3.10619		1000
pullx2_24.xvg	3.22407		1000
pullx2_25.xvg	3.36352		1000
pullx2_26.xvg	3.47609		1000
pullx2_27.xvg	3.59642		1000
pullx2_28.xvg	3.71407		1000
pullx2_29.xvg	3.83224		1000
pullx2_30.xvg	3.94643		1000
pullx2_31.xvg	4.06551		1000
pullx2_32.xvg	4.18997		1000
pullx2_33.xvg	4.30464		1000
pullx2_34.xvg	4.42024		1000
