#coord1    Free Energy    +/-    Probability    +/-
-3.108600    7.118166    0.726345    0.003561    0.001037
-3.045800    5.331290    0.691401    0.007290    0.002021
-2.983000    3.879241    0.633161    0.013048    0.003312
-2.920200    2.968659    0.559868    0.018796    0.004219
-2.857400    1.942494    0.521451    0.028362    0.005929
-2.794600    1.418408    0.511798    0.034994    0.007180
-2.731800    1.169398    0.500131    0.038668    0.007753
-2.669000    0.843024    0.423166    0.044073    0.007477
-2.606200    0.636021    0.402194    0.047887    0.007721
-2.543400    0.720123    0.392284    0.046299    0.007281
-2.480600    1.066434    0.364394    0.040297    0.005887
-2.417800    1.509855    0.373071    0.033734    0.005046
-2.355000    2.015549    0.340702    0.027544    0.003762
-2.292200    2.226942    0.187837    0.025306    0.001906
-2.229400    2.573176    0.163733    0.022026    0.001446
-2.166600    2.591946    0.202599    0.021861    0.001776
-2.103800    2.476835    0.162230    0.022893    0.001489
-2.041000    2.513953    0.187976    0.022555    0.001700
-1.978200    2.470032    0.209922    0.022956    0.001932
-1.915400    2.227585    0.394195    0.025299    0.003998
-1.852600    2.105310    0.366411    0.026570    0.003903
-1.789800    1.778779    0.308002    0.030286    0.003740
-1.727000    1.447127    0.237757    0.034593    0.003297
-1.664200    0.906384    0.265618    0.042968    0.004576
-1.601400    0.304263    0.299905    0.054699    0.006577
-1.538600    0.247397    0.297414    0.055960    0.006672
-1.475800    0.000000    0.341807    0.061795    0.008468
-1.413000    0.536142    0.333929    0.049843    0.006673
-1.350200    1.428046    0.415679    0.034859    0.005809
-1.287400    2.398149    0.471062    0.023627    0.004462
-1.224600    3.784647    0.480677    0.013552    0.002612
-1.161800    5.696583    0.487364    0.006297    0.001230
-1.099000    7.656158    0.485095    0.002870    0.000558
-1.036200    9.955000    0.474531    0.001142    0.000217
-0.973400    12.357407    0.521858    0.000436    0.000091
-0.910600    14.954254    0.679423    0.000154    0.000042
-0.847800    17.745327    0.899097    0.000050    0.000018
-0.785000    20.559461    1.400584    0.000016    0.000009
-0.722200    22.783560    1.935739    0.000007    0.000005
-0.659400    25.175865    2.554685    0.000003    0.000003
-0.596600    26.419980    2.707057    0.000002    0.000002
-0.533800    27.885999    2.680865    0.000001    0.000001
-0.471000    29.029334    2.560557    0.000001    0.000001
-0.408200    30.366556    2.474396    0.000000    0.000000
-0.345400    31.615252    2.511599    0.000000    0.000000
-0.282600    32.781716    2.693705    0.000000    0.000000
-0.219800    33.731378    2.784522    0.000000    0.000000
-0.157000    34.476014    2.815101    0.000000    0.000000
-0.094200    35.387300    3.060738    0.000000    0.000000
-0.031400    35.579756    3.074545    0.000000    0.000000
0.031400    35.520194    2.997314    0.000000    0.000000
0.094200    35.344763    2.909572    0.000000    0.000000
0.157000    34.886460    3.099746    0.000000    0.000000
0.219800    33.633998    3.094506    0.000000    0.000000
0.282600    32.686511    3.077967    0.000000    0.000000
0.345400    31.211777    3.305545    0.000000    0.000000
0.408200    29.680451    4.240068    0.000000    0.000001
0.471000    28.032242    4.472562    0.000001    0.000001
0.533800    26.439599    4.654827    0.000002    0.000003
0.596600    24.432467    4.574666    0.000003    0.000006
0.659400    22.309893    4.862061    0.000008    0.000016
0.722200    20.186040    4.828795    0.000019    0.000037
0.785000    18.295046    5.011677    0.000040    0.000081
0.847800    16.221232    4.936856    0.000093    0.000183
0.910600    14.251911    5.036745    0.000204    0.000412
0.973400    12.562353    5.358431    0.000402    0.000863
1.036200    11.184029    5.447495    0.000698    0.001524
1.099000    10.040677    5.503065    0.001103    0.002434
1.161800    9.369064    5.732528    0.001444    0.003320
1.224600    9.095392    5.840210    0.001612    0.003774
1.287400    9.256035    6.090900    0.001511    0.003691
1.350200    9.814068    6.280131    0.001208    0.003042
1.413000    10.945207    6.508250    0.000768    0.002003
1.475800    12.518898    6.775260    0.000409    0.001110
1.538600    14.409744    6.965926    0.000191    0.000535
1.601400    16.451965    7.139771    0.000084    0.000242
1.664200    18.589166    7.587443    0.000036    0.000109
1.727000    20.669504    7.985190    0.000016    0.000050
1.789800    22.804791    7.785886    0.000007    0.000021
1.852600    24.531690    10.770791    0.000003    0.000014
1.915400    26.182612    7.778636    0.000002    0.000005
1.978200    27.279439    7.317796    0.000001    0.000003
2.041000    28.571380    3.941626    0.000001    0.000001
2.103800    29.328969    1.086686    0.000000    0.000000
2.166600    29.897739    1.065982    0.000000    0.000000
2.229400    30.320908    1.012561    0.000000    0.000000
2.292200    30.065391    1.072001    0.000000    0.000000
2.355000    29.809137    1.325516    0.000000    0.000000
2.417800    29.340601    1.292456    0.000000    0.000000
2.480600    28.473346    1.537744    0.000001    0.000000
2.543400    27.679353    1.333735    0.000001    0.000001
2.606200    26.453160    1.365382    0.000002    0.000001
2.669000    24.424649    1.046594    0.000003    0.000001
2.731800    22.285933    0.947041    0.000008    0.000003
2.794600    19.958407    0.926797    0.000021    0.000008
2.857400    17.606291    0.905871    0.000053    0.000019
2.920200    15.420138    0.930646    0.000128    0.000048
2.983000    13.069599    0.868684    0.000328    0.000114
3.045800    11.036085    0.791301    0.000740    0.000235
3.108600    9.015657    0.747120    0.001664    0.000498
