#coord1    Free Energy    +/-    Probability    +/-
-3.110177    7.158102    0.066061    0.003494    0.000070
-3.047345    5.365727    0.066577    0.007168    0.000135
-2.984513    3.873190    0.064431    0.013039    0.000233
-2.921681    2.953162    0.065142    0.018855    0.000334
-2.858849    1.949554    0.064047    0.028195    0.000483
-2.796017    1.391747    0.062115    0.035261    0.000594
-2.733186    1.128270    0.059763    0.039189    0.000647
-2.670354    0.839970    0.059287    0.043991    0.000712
-2.607522    0.624769    0.058500    0.047955    0.000797
-2.544690    0.663757    0.058265    0.047211    0.000798
-2.481858    1.051932    0.056788    0.040407    0.000664
-2.419026    1.463048    0.059709    0.034267    0.000622
-2.356194    1.990616    0.053483    0.027734    0.000423
-2.293363    2.190692    0.043319    0.025597    0.000266
-2.230531    2.553036    0.039698    0.022136    0.000187
-2.167699    2.572522    0.039097    0.021964    0.000156
-2.104867    2.472360    0.036596    0.022863    0.000147
-2.042035    2.517562    0.037999    0.022453    0.000209
-1.979203    2.469778    0.038176    0.022887    0.000241
-1.916372    2.223125    0.047408    0.025266    0.000449
-1.853540    2.080157    0.037957    0.026756    0.000373
-1.790708    1.793841    0.037537    0.030011    0.000435
-1.727876    1.458784    0.038048    0.034326    0.000494
-1.665044    0.914441    0.036602    0.042697    0.000617
-1.602212    0.303813    0.033286    0.054540    0.000762
-1.539380    0.268335    0.032947    0.055321    0.000800
-1.476549    0.000000    0.032532    0.061604    0.000915
-1.413717    0.537061    0.035421    0.049671    0.000786
-1.350885    1.439940    0.036002    0.034586    0.000580
-1.288053    2.391838    0.038449    0.023614    0.000426
-1.225221    3.779470    0.038521    0.013538    0.000246
-1.162389    5.685555    0.039935    0.006305    0.000119
-1.099557    7.661896    0.039852    0.002855    0.000054
-1.036726    9.946594    0.041239    0.001142    0.000022
-0.973894    12.359408    0.044291    0.000434    0.000009
-0.911062    14.954655    0.049774    0.000153    0.000003
-0.848230    17.742242    0.059250    0.000050    0.000001
-0.785398    20.555785    0.065401    0.000016    0.000001
-0.722566    22.811160    0.073860    0.000007    0.000000
-0.659734    25.178094    0.086184    0.000003    0.000000
-0.596903    26.442288    0.091674    0.000002    0.000000
-0.534071    27.897565    0.091810    0.000001    0.000000
-0.471239    29.062473    0.093492    0.000001    0.000000
-0.408407    30.384521    0.091621    0.000000    0.000000
-0.345575    31.638454    0.094954    0.000000    0.000000
-0.282743    32.817727    0.104975    0.000000    0.000000
-0.219911    33.770369    0.107367    0.000000    0.000000
-0.157080    34.505503    0.107448    0.000000    0.000000
-0.094248    35.431659    0.122770    0.000000    0.000000
-0.031416    35.615810    0.123003    0.000000    0.000000
0.031416    35.561946    0.119921    0.000000    0.000000
0.094248    35.382089    0.107837    0.000000    0.000000
0.157080    34.934827    0.112907    0.000000    0.000000
0.219911    33.673460    0.107974    0.000000    0.000000
0.282743    32.731563    0.106959    0.000000    0.000000
0.345575    31.261855    0.107235    0.000000    0.000000
0.408407    29.717377    0.110897    0.000000    0.000000
0.471239    28.076620    0.110736    0.000001    0.000000
0.534071    26.481097    0.110570    0.000002    0.000000
0.596903    24.487358    0.110678    0.000003    0.000000
0.659734    22.344251    0.108746    0.000008    0.000000
0.722566    20.241543    0.110764    0.000018    0.000001
0.785398    18.341869    0.110562    0.000039    0.000002
0.848230    16.261582    0.113400    0.000091    0.000005
0.911062    14.301801    0.113555    0.000199    0.000010
0.973894    12.603788    0.113740    0.000394    0.000020
1.036726    11.249601    0.113019    0.000678    0.000035
1.099557    10.087886    0.112748    0.001079    0.000056
1.162389    9.443303    0.111507    0.001398    0.000072
1.225221    9.152799    0.110347    0.001570    0.000081
1.288053    9.331937    0.110858    0.001462    0.000076
1.350885    9.905546    0.111592    0.001161    0.000061
1.413717    11.042050    0.111362    0.000736    0.000039
1.476549    12.598167    0.111371    0.000395    0.000021
1.539380    14.520167    0.110164    0.000183    0.000010
1.602212    16.569783    0.110233    0.000080    0.000004
1.665044    18.687390    0.110987    0.000034    0.000002
1.727876    20.775408    0.112748    0.000015    0.000001
1.790708    22.905200    0.107353    0.000006    0.000000
1.853540    24.643852    0.109825    0.000003    0.000000
1.916372    26.301740    0.109608    0.000002    0.000000
1.979203    27.372071    0.108712    0.000001    0.000000
2.042035    28.697726    0.112741    0.000001    0.000000
2.104867    29.417901    0.111171    0.000000    0.000000
2.167699    30.008351    0.111253    0.000000    0.000000
2.230531    30.406016    0.109443    0.000000    0.000000
2.293363    30.171275    0.109685    0.000000    0.000000
2.356194    29.884646    0.123195    0.000000    0.000000
2.419026    29.428153    0.121519    0.000000    0.000000
2.481858    28.546982    0.142684    0.000001    0.000000
2.544690    27.757520    0.125824    0.000001    0.000000
2.607522    26.505787    0.127311    0.000001    0.000000
2.670354    24.491866    0.105644    0.000003    0.000000
2.733186    22.320664    0.094847    0.000008    0.000000
2.796017    20.052723    0.089885    0.000020    0.000001
2.858849    17.655650    0.087837    0.000052    0.000002
2.921681    15.471590    0.087834    0.000125    0.000005
2.984513    13.138167    0.081947    0.000318    0.000011
3.047345    11.092386    0.074513    0.000722    0.000020
3.110177    9.065722    0.068298    0.001626    0.000036
