#x       	Free Energy	Probability
-3.108600	7.118132	0.003561
-3.045800	5.331257	0.007290
-2.983000	3.879200	0.013048
-2.920200	2.968630	0.018797
-2.857400	1.942463	0.028363
-2.794600	1.418379	0.034994
-2.731800	1.169367	0.038668
-2.669000	0.842997	0.044073
-2.606200	0.635996	0.047887
-2.543400	0.720100	0.046299
-2.480600	1.066414	0.040297
-2.417800	1.509836	0.033734
-2.355000	2.015530	0.027544
-2.292200	2.226925	0.025306
-2.229400	2.573162	0.022026
-2.166600	2.591932	0.021861
-2.103800	2.476822	0.022893
-2.041000	2.513943	0.022555
-1.978200	2.470026	0.022956
-1.915400	2.227577	0.025299
-1.852600	2.105305	0.026570
-1.789800	1.778774	0.030286
-1.727000	1.447121	0.034593
-1.664200	0.906382	0.042968
-1.601400	0.304258	0.054699
-1.538600	0.247396	0.055960
-1.475800	0.000000	0.061795
-1.413000	0.536140	0.049843
-1.350200	1.428043	0.034859
-1.287400	2.398146	0.023627
-1.224600	3.784645	0.013552
-1.161800	5.696583	0.006297
-1.099000	7.656155	0.002870
-1.036200	9.954992	0.001142
-0.973400	12.357405	0.000436
-0.910600	14.954249	0.000154
-0.847800	17.745319	0.000050
-0.785000	20.559460	0.000016
-0.722200	22.783556	0.000007
-0.659400	25.175858	0.000003
-0.596600	26.419977	0.000002
-0.533800	27.885994	0.000001
-0.471000	29.029327	0.000001
-0.408200	30.366552	0.000000
-0.345400	31.615246	0.000000
-0.282600	32.781708	0.000000
-0.219800	33.731373	0.000000
-0.157000	34.476006	0.000000
-0.094200	35.387291	0.000000
-0.031400	35.579746	0.000000
0.031400	35.520184	0.000000
0.094200	35.344753	0.000000
0.157000	34.886452	0.000000
0.219800	33.633987	0.000000
0.282600	32.686501	0.000000
0.345400	31.211767	0.000000
0.408200	29.680437	0.000000
0.471000	28.032228	0.000001
0.533800	26.439589	0.000002
0.596600	24.432449	0.000003
0.659400	22.309877	0.000008
0.722200	20.186028	0.000019
0.785000	18.295029	0.000040
0.847800	16.221214	0.000093
0.910600	14.251888	0.000204
0.973400	12.562330	0.000402
1.036200	11.184008	0.000698
1.099000	10.040657	0.001103
1.161800	9.369045	0.001444
1.224600	9.095373	0.001612
1.287400	9.256014	0.001511
1.350200	9.814045	0.001208
1.413000	10.945183	0.000768
1.475800	12.518873	0.000409
1.538600	14.409716	0.000191
1.601400	16.451935	0.000084
1.664200	18.589132	0.000036
1.727000	20.669479	0.000016
1.789800	22.804764	0.000007
1.852600	24.531662	0.000003
1.915400	26.182583	0.000002
1.978200	27.279408	0.000001
2.041000	28.571348	0.000001
2.103801	29.328941	0.000000
2.166600	29.897709	0.000000
2.229400	30.320875	0.000000
2.292200	30.065357	0.000000
2.355000	29.809101	0.000000
2.417800	29.340567	0.000000
2.480600	28.473312	0.000001
2.543401	27.679312	0.000001
2.606200	26.453121	0.000002
2.669000	24.424610	0.000003
2.731800	22.285896	0.000008
2.794600	19.958370	0.000021
2.857400	17.606255	0.000053
2.920201	15.420090	0.000128
2.983001	13.069551	0.000328
3.045800	11.036041	0.000740
3.108600	9.015614	0.001664
